id-corrida,City / Country, qtd_Br
27785,Peru,2
27793,France,1
27879,Australia,6
27889,Turkey,1
27891,Turkey,1
27905,Belgium,1
27939,Spain,1
27971,France,11
27973,Mexico,2
27987,France,1
28001,"Hong Kong, China",1
28031,Portugal,1
28059,United States,1
28061,United States,2
28223,United States,1
28343,Switzerland,1
28359,Morocco,1
28361,Morocco,2
28517,Belgium,1
28531,Peru,1
28533,Peru,2
28535,Peru,2
28537,Peru,6
28549,Chile,2
28551,Argentina,1
28639,Bolivia,4
28695,Italy,3
28697,Italy,16
28699,Italy,5
28773,Chile,9
28775,Chile,22
28777,Chile,15
28779,Chile,10
28781,Chile,18
28785,Chile,14
28819,Portugal,1
28855,Spain,1
28857,Spain,1
28873,New Zealand,1
29085,Argentina,2
29097,France,2
29099,France,1
29101,France,1
29103,Argentina,1
29225,Spain,1
29389,Argentina,11
29409,Argentina,1
29441,Portugal,6
29447,Portugal,2
29481,United States,1
29483,United States,1
29509,Spain,1
29637,Romania,1
29639,Romania,1
29979,Spain,2
29983,Spain,1
30085,"Hong Kong, China",1
30101,Spain,1
30201,Switzerland,2
30289,Portugal,3
30347,Spain,2
30349,Spain,2
30357,Italy,1
30369,Spain,1
30439,Mexico,2
30461,United States,2
30501,Austria,1
30575,Croatia,1
30651,Peru,1
30653,Peru,1
30715,Portugal,1
30769,Italy,1
30791,United States,1
30903,Belgium,1
30949,Nepal,1
30953,Portugal,3
30975,France,1
30997,Spain,1
31087,Switzerland,2
31109,France,1
31141,Italy,1
31221,Spain,1
31283,France,1
31289,Argentina,1
31309,Oman,1
31389,Spain,1
31469,France,1
31617,Italy,1
31671,United States,1
31763,Chile,1
31947,Belgium,1
32073,Argentina,3
32077,Argentina,15
32079,Argentina,18
32081,Argentina,10
32083,Argentina,2
32213,Portugal,1
32249,United States,1
32417,France,1
32483,Belgium,1
32503,Switzerland,1
32589,Ecuador,2
32801,Oman,1
32849,France,1
32897,Chile,1
33147,Chile,11
33189,Paraguay,3
33191,Paraguay,1
33343,Japan,1
33357,Portugal,1
33455,Portugal,2
33511,Portugal,2
33577,United States,1
33667,Portugal,1
33677,Peru,1
33679,Peru,3
33681,Peru,1
33733,Nepal,1
33765,South Africa,5
33767,South Africa,5
33769,South Africa,5
33771,South Africa,2
33799,Indonesia,1
33805,Chile,2
33875,Mexico,1
33939,Nepal,1
34227,Japan,1
34269,France,1
34271,France,1
34315,Spain,5
34317,Spain,3
34321,Spain,2
34377,Chile,1
34379,Chile,1
34381,Chile,1
34595,Singapore,1
34603,Japan,1
34605,Japan,1
34693,Switzerland,1
34755,Portugal,2
34757,Italy,1
34801,Belgium,1
34867,Belgium,1
34933,Mexico,1
35035,Namibia,2
35119,Argentina,1
35129,Chile,1
35223,Portugal,1
35225,Portugal,1
35363,Argentina,33
35365,Argentina,100
35367,Argentina,115
35369,Argentina,40
35373,Argentina,8
35467,Switzerland,2
35515,Argentina,1
35517,Argentina,1
35545,Portugal,10
35547,Argentina,4
35549,Argentina,16
35551,Argentina,1
35691,Colombia,1
35721,Croatia,2
35725,Croatia,1
35797,South Africa,1
35917,Spain,1
35953,Turkey,1
35987,Portugal,1
35989,Portugal,1
35991,Portugal,1
36027,Chile,1
36029,Chile,3
36093,Chile,10
36095,Chile,10
36171,Italy,4
36173,Italy,14
36175,Italy,4
36195,Chile,1
36293,Japan,1
36305,Spain,1
36381,Switzerland,2
36421,Spain,1
36471,France,1
36505,Switzerland,1
36507,Switzerland,1
36511,United Kingdom,1
36593,Mongolia,1
36645,Portugal,5
36647,Portugal,1
36649,Portugal,5
36675,France,1
36697,Italy,5
36721,Chile,1
36761,Spain,1
36777,France,3
36779,France,6
36783,Indonesia,1
36847,Spain,1
36893,Portugal,1
37009,Finland,1
37085,Portugal,4
37109,Spain,2
37187,Portugal,1
37193,France,1
37359,Romania,1
37389,Portugal,5
37407,Austria,1
37471,France,1
37493,Spain,1
37615,United States,1
37617,United States,1
37743,Switzerland,2
37747,Switzerland,1
37751,Switzerland,3
37791,France,3
37819,France,1
37871,United States,2
37873,United States,2
37893,France,3
37895,France,3
37899,France,6
37901,France,3
37903,France,3
37927,France,1
37929,France,1
37967,United States,1
37989,United Kingdom,1
37995,Switzerland,1
38001,Switzerland,1
38017,"Pu Luong, Thanh Hoa",1
38025,"Pu Luong, Thanh Hoa",1
38059,Argentina,16
38061,Argentina,4
38063,Argentina,7
38191,Argentina,10
38407,Peru,1
38423,Switzerland,2
38479,Morocco,1
38487,Japan,2
38491,Italy,1
38525,Italy,1
38527,Italy,1
38619,Portugal,3
38627,Argentina,33
38629,Argentina,26
38631,Argentina,13
38681,Japan,1
38727,China,1
38789,Italy,1
38829,Japan,2
38927,Italy,1
38929,Italy,4
38975,United Kingdom,1
39019,United States,1
39091,Chile,8
39093,Chile,8
39095,Chile,3
39097,Chile,10
39129,Switzerland,1
39139,Switzerland,1
39175,Austria,1
39191,United States,2
39311,Austria,2
39345,Portugal,2
39559,Portugal,2
39603,Argentina,1
39657,Portugal,1
39663,Portugal,1
39699,France,1
39739,Italy,1
39751,Portugal,1
39843,Switzerland,1
39873,Australia,1
39879,France,16
39881,France,16
39883,France,19
39885,France,19
39887,France,26
39917,Spain,1
39923,Spain,1
39963,Sweden,1
39997,Australia,1
40207,Italy,1
40217,France,1
40375,Spain,2
40377,Spain,2
40403,Switzerland,1
40405,Switzerland,1
40459,Portugal,2
40507,United States,3
40593,Italy,2
40675,United States,1
40683,United States,2
40885,France,1
40893,France,1
40913,Spain,1
40977,Italy,1
40979,Turkey,3
40981,Turkey,1
40983,Turkey,1
41009,United States,1
41179,Canada,1
41183,Canada,1
41269,United States,1
41275,Argentina,1
41285,South Africa,1
41301,Spain,1
41313,Spain,1
41399,Italy,1
41435,Spain,1
41509,New Zealand,4
41513,New Zealand,2
41579,Switzerland,1
41645,Spain,1
41651,Spain,1
41673,Switzerland,2
41731,Switzerland,1
41733,Switzerland,2
41755,France,1
41983,Spain,1
42021,Argentina,2
42039,Argentina,228
42041,Argentina,127
42043,Argentina,66
42045,Argentina,105
42097,Portugal,2
42125,United States,1
42207,Spain,2
42361,Spain,1
42377,France,1
42385,Argentina,3
42387,Argentina,1
42389,Argentina,2
42531,Switzerland,1
42533,Switzerland,1
42589,Portugal,2
42601,Ecuador,1
42657,Mexico,6
42705,Chile,4
42727,Italy,2
43003,United Kingdom,1
43167,United States,1
43173,United States,1
43175,United States,1
43177,United States,2
43183,United States,1
43185,United States,2
43189,United States,1
43199,Portugal,1
43213,Canada,1
43263,Italy,1
43555,Colombia,1
43649,Portugal,3
43651,Portugal,1
43653,Portugal,1
43657,Portugal,1
43755,France,1
43765,France,1
43815,Spain,1
43817,Spain,1
43839,Chile,6
43841,Chile,4
43843,Chile,19
43845,Chile,9
43847,Chile,3
43955,Mexico,2
43963,Portugal,2
43965,Nepal,1
44077,Belgium,2
44241,Spain,1
44569,Italy,2
44661,Peru,1
44663,Peru,3
44675,Portugal,1
44757,Indonesia,1
44765,South Africa,6
44767,South Africa,5
44769,South Africa,3
44771,South Africa,4
44845,United States,1
44883,France,1
44977,Portugal,1
44991,Colombia,2
45023,Chile,1
45027,Portugal,1
45031,Portugal,1
45169,Slovenia,1
45223,United Kingdom,1
45309,Portugal,1
45453,Slovenia,1
45485,Portugal,1
45597,Chile,2
45641,Malaysia,1
45659,Italy,1
45709,Mexico,1
45777,Indonesia,1
45779,Israel,1
45875,Portugal,1
45877,Portugal,1
45989,Cape Verde,1
46081,Norway,1
46091,Argentina,1
46095,Bolivia,1
46215,Indonesia,1
46223,France,1
46359,Argentina,2
46381,Mexico,1
46445,France,1
46517,Spain,1
46673,Indonesia,1
46789,Switzerland,1
46843,Argentina,9
46845,Argentina,2
46847,Argentina,4
46873,Portugal,2
46875,Portugal,1
46951,Chile,1
46953,Chile,2
46955,Chile,1
47061,Chile,41
47139,Argentina,1
47163,Oman,1
47165,Oman,1
47167,Oman,1
47207,Portugal,1
47331,Peru,3
47335,Peru,3
47337,Peru,1
47765,Mexico,2
48019,Saint Pierre de la R�union,3
48021,Cilaos,3
48033,Morocco,1
48073,Netherlands,1
48095,Chile,2
48097,Chile,35
48099,Chile,22
48151,Chile,3
48153,Chile,4
48257,Japan,1
48375,Portugal,1
48441,Portugal,1
48503,Belgium,1
48509,Belgium,1
48531,Paraguay,1
48541,Portugal,1
48543,Portugal,3
48559,Paraguay,1
48573,France,2
48647,Peru,1
48737,United Kingdom,1
48757,Argentina,2
48759,Argentina,1
48773,Argentina,2
48809,Belgium,1
48811,Belgium,1
48885,United States,1
48927,Chile,2
48929,Chile,1
49023,Mexico,1
49025,Mexico,1
49045,Switzerland,1
49059,New Zealand,2
49107,"Hong Kong, China",1
49347,"Page, Arizona",2
49645,Argentina,1
50129,Peru,1
50155,"Hong Kong, China",2
50405,New Zealand,3
50555,Argentina,3
50853,Argentina,1
51155,Mexico,1
51229,Chile,1
51251,Portugal,2
51437,Ireland,1
51439,Ireland,1
51441,Ireland,1
51463,Portugal,2
51865,France,1
52185,Switzerland,1
52283,France,1
52431,Chile,7
52433,Chile,8
52435,Chile,7
52439,Chile,8
52609,The Gap,3
52613,The Gap,1
52651,Mexico,1
52655,Mexico,1
52667,United Kingdom,1
52811,Belgium,1
52889,Chinese Taipei,1
52939,Portugal,1
52969,Switzerland,1
53027,Belgium,1
53095,Spain,1
53521,Switzerland,2
53799,Portugal,1
53827,France,1
53883,Indonesia,1
54003,Finhaut,1
54201,Austria,1
54203,Austria,1
54291,"Sapa, Lao Cai",1
54523,France,1
54593,Chile,5
54609,Portugal,1
54633,Villaverde de Guadalimar,1
54661,Italy,1
54699,France,1
54861,Portugal,1
54967,Argentina,1
55107,Spain,1
55379,Thailand,1
