corridas.id-corrida,corridas.Corrida,corridas.uri,corridas.Title,corridas.City / Country,corridas.Day,corridas.Month,corridas.Year,corridas.Race Category,corridas.Distance,corridas.Elevation Gain
57885,Desafio Cerro Branco,16799.desafiocerrobrancohalfmarathon.2020,Desafio Cerro Branco 2020 - half marathon,Brazil,6,June,2020,20K,23.5,1220
57887,Desafio Cerro Branco,23701.desafiocerrobrancohardmarathon.2020,Desafio Cerro Branco 2020 - Hard Marathon,Brazil,6,June,2020,50K,41.2,2190
59161,La Mision Brasil,18913.lamisionbrasillamisionbrasil15k.2020,La Mision Brasil 2020 - La Mision Brasil 15K,Brazil,15,August,2020,20K,15,1020
59167,La Mision Brasil,11263.lamisionbrasillamisionbrasil35k.2020,La Mision Brasil 2020 - La Mision Brasil 35K,Brazil,15,August,2020,50K,37.1,2400
59169,La Mision Brasil,11265.lamisionbrasillamisionbrasil50k.2020,La Mision Brasil 2020 - La Mision Brasil 50K,Brazil,14,August,2020,50K,51.9,3470
59171,La Mision Brasil,11267.lamisionbrasillamisionbrasil80k.2020,La Mision Brasil 2020 - La Mision Brasil 80K,Brazil,14,August,2020,100K,79.5,4880
59559,ForrestRUN: Desafio Serrinha,24123.forrestrun-desafioserrinha5k-curtoi.2020,ForrestRUN: Desafio Serrinha 2020 - 5K - CURTO I,Brazil,16,February,2020,,,
60201,Ultra Desafio Passa Quatro - MG,4485.ultradesafiopassaquatro-mgud80km.2020,Ultra Desafio Passa Quatro - MG 2020 - UD 80 Km,Brazil,8,February,2020,100K,78.2,2470
60203,Ultra Desafio Passa Quatro - MG,4250.ultradesafiopassaquatro-mgud120km.2020,Ultra Desafio Passa Quatro - MG 2020 - UD 120 Km,Brazil,8,February,2020,100K,121.7,3640
60205,Ultra Desafio Passa Quatro - MG,16329.ultradesafiopassaquatro-mgud35km.2020,Ultra Desafio Passa Quatro - MG 2020 - UD 35 Km,Brazil,8,February,2020,20K,31.7,1070
60207,Ultra Desafio Passa Quatro - MG,16331.ultradesafiopassaquatro-mgud15km.2020,Ultra Desafio Passa Quatro - MG 2020 - UD 15 Km,Brazil,8,February,2020,,,
60211,Ultra Desafio Passa Quatro - MG,24329.ultradesafiopassaquatro-mgud55km.2020,Ultra Desafio Passa Quatro - MG 2020 - UD 55 Km,Brazil,8,February,2020,50K,55.4,1710
60315,Extremo Sul Ultramarathon,3447.extremosulultramarathonworld-slargestbeach.2020,Extremo Sul Ultramarathon 2020 - World's Largest Beach,Brazil,26,November,2020,100M,227.3,2980
60513,1� STAGE INSANE,30977.1-stageinsaneinsane25k.2020,1� STAGE INSANE 2020 - INSANE 25K,Brazil,28,March,2020,20K,25,1020
60515,1� STAGE INSANE,30978.1-stageinsaneinsane38k.2020,1� STAGE INSANE 2020 - INSANE 38K,Brazil,28,March,2020,50K,36.2,1460
62087,Desafio Raiz Tapera,30912.desafioraiztaperadesafioraiztaperacurto.2020,Desafio Raiz Tapera 2020 - Desafio Raiz Tapera  CURTO,Brazil,7,March,2020,,,
62089,Desafio Raiz Tapera,15913.desafioraiztaperadesafioraiztaperamedio.2020,Desafio Raiz Tapera 2020 - Desafio Raiz Tapera  M�DIO,Brazil,7,March,2020,20K,13.2,1050
62417,Desafio Raiz Tapera,30910.desafioraiztaperadesafioraiztaperalongo.2020,Desafio Raiz Tapera 2020 - Desafio Raiz Tapera LONGO ,Brazil,7,March,2020,20K,22.2,1570
62533,Jaragu� SkyMarathon,33144.jaraguaskymarathonjaragua30k.2020,Jaragu� SkyMarathon 2020 - Jaragu� 30K,Brazil,7,March,2020,20K,31.2,1670
66972,ATT NOVA PETR�POLIS,21235.attnovapetropolistrajetolongo.2021,ATT NOVA PETR�POLIS 2021 - Trajeto Longo,Brazil,11,September,2021,20K,30,1370
